date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2020-07-13,Monday,6,30,27,20,24,1,Summer,0,0,0.0,0.0,86.5,0.0,0,none,24.2,212.6,209.2,0.77,cloudy,667
2019-07-11,Thursday,6,29,1,20,24,47,Summer,0,0,0.0,0.0,88.1,0.0,0,none,24.2,343.1,268.4,0.32,clear,603
2020-05-21,Thursday,6,25,2,20,11,34,Spring,0,0,0.0,0.0,82.1,0.0,0,none,20.8,153.7,150.3,0.97,cloudy,748
2013-12-28,Saturday,7,15,50,17,30,43,Winter,0,1,0.0,0.0,52.3,0.0,0,none,0.0,25.4,89.5,0.88,cloudy,308
2013-10-27,Sunday,7,31,29,18,38,40,Autumn,0,1,0.0,0.0,67.9,0.163,100,rain,25.8,55.0,133.6,0.78,rain,326
2010-09-22,Wednesday,7,9,45,19,18,6,Autumn,0,0,0.0,0.0,80.5,0.018,100,rain,27.3,124.5,217.8,0.48,rain,356
2018-04-27,Friday,6,42,32,19,56,4,Spring,0,0,0.0,0.0,70.1,0.0,0,none,19.7,353.2,83.1,0.42,clear,327
2012-07-18,Wednesday,6,33,5,20,22,8,Summer,0,0,0.0,0.0,84.4,0.06,100,rain,19.5,177.2,219.4,0.0,rain,360
2018-04-07,Saturday,7,3,44,19,43,46,Spring,0,1,0.0,0.0,59.9,0.024,100,rain,31.1,343.2,14.1,0.73,rain,279
2017-12-26,Tuesday,7,15,6,17,29,28,Winter,0,0,0.0,0.0,49.7,0.058,100,rain,16.1,49.1,98.4,0.25,rain,347
2010-09-04,Saturday,7,0,12,19,40,15,Autumn,0,1,0.0,0.0,79.8,0.0,0,none,19.5,49.4,214.0,0.87,cloudy,385
2019-09-10,Tuesday,7,3,18,19,33,13,Autumn,0,0,0.0,0.0,85.8,0.457,100,rain,34.4,140.1,155.3,0.38,rain,538
2014-10-25,Saturday,7,29,53,18,40,44,Autumn,0,1,0.0,0.0,72.6,0.0,0,none,0.0,112.7,,0.06,clear,339
2023-03-22,Wednesday,7,23,3,19,34,8,Spring,0,0,0.0,0.0,72.9,0.0,0,none,33.7,167.2,97.9,0.03,cloudy,797
2019-11-30,Saturday,6,58,21,17,21,44,Autumn,0,1,0.0,0.0,75.2,0.003,100,rain,27.7,201.3,46.5,0.13,rain,623
2012-07-12,Thursday,6,29,51,20,24,17,Summer,0,0,0.0,0.0,75.1,0.272,100,rain,28.3,195.8,127.7,0.79,rain,346
2016-04-28,Thursday,6,41,9,19,57,0,Spring,0,0,0.0,0.0,77.1,0.0,0,none,23.7,55.2,287.1,0.72,cloudy,323
2010-09-26,Sunday,7,11,56,19,13,9,Autumn,0,1,0.0,0.0,78.2,0.069,100,rain,23.7,333.8,206.0,0.62,rain,317
2011-11-01,Tuesday,7,34,49,18,34,52,Autumn,0,0,0.0,0.0,66.9,0.0,0,none,19.5,139.3,210.6,0.2,cloudy,356
2017-07-20,Thursday,6,34,6,20,21,20,Summer,0,0,0.0,0.0,87.4,0.0,0,none,18.3,198.1,261.3,0.91,cloudy,366
2015-03-26,Thursday,7,18,16,19,36,28,Spring,0,0,0.0,0.0,64.3,0.006,100,rain,34.6,320.4,224.0,0.21,rain,324
2018-01-22,Monday,7,15,58,17,50,32,Winter,0,0,0.0,0.0,62.8,0.056,100,rain,29.0,294.6,192.0,0.2,rain,401
2013-02-26,Tuesday,6,50,4,18,18,54,Winter,0,0,0.0,0.0,53.6,0.0,0,none,35.2,309.8,253.7,0.53,clear,338
2023-02-02,Thursday,7,10,54,17,59,52,Winter,0,0,0.0,0.0,39.5,0.146,100,rain,28.9,337.1,18.2,0.4,rain,682
2019-04-30,Tuesday,6,40,1,19,57,49,Spring,0,0,0.0,0.0,78.8,0.004,100,rain,29.5,157.6,160.4,0.86,rain,660
2021-07-11,Sunday,6,29,18,20,24,40,Summer,0,1,0.0,0.0,83.4,0.0,0,none,20.8,204.9,68.4,0.06,cloudy,705
2020-06-22,Monday,6,21,58,20,25,22,Summer,0,0,0.0,0.0,77.4,1.239,100,rain,35.1,159.1,21.9,0.05,rain,651
2018-07-31,Tuesday,6,40,23,20,14,58,Summer,0,0,0.0,0.0,80.7,0.391,100,rain,42.4,239.4,70.0,0.63,rain,613
2018-01-19,Friday,7,16,51,17,47,56,Winter,0,0,0.0,0.0,46.2,0.067,100,rain,18.3,85.4,45.6,0.09,rain,350
2015-03-31,Tuesday,7,12,17,19,39,27,Spring,0,0,0.0,0.0,72.4,0.001,100,rain,19.7,190.1,261.1,0.37,rain,307
2011-09-05,Monday,7,0,37,19,39,21,Autumn,1,0,0.0,0.0,83.5,0.0,0,none,29.8,356.6,301.3,0.27,clear,351
2016-06-28,Tuesday,6,23,43,20,25,59,Summer,0,0,0.0,0.0,81.9,0.68,100,rain,36.7,279.2,258.7,0.79,rain,389
2019-07-14,Sunday,6,30,34,20,23,56,Summer,0,1,0.0,0.0,85.1,0.0,0,none,16.1,273.4,227.6,0.42,cloudy,631
2015-03-14,Saturday,7,32,38,19,29,9,Spring,0,1,0.0,0.0,66.8,0.0,0,none,21.9,275.5,251.7,0.81,clear,290
2014-07-08,Tuesday,6,27,39,20,25,21,Summer,0,0,0.0,0.0,83.7,0.008,100,rain,16.1,187.9,,0.38,rain,1
2016-08-13,Saturday,6,48,19,20,3,40,Summer,0,1,0.0,0.0,84.1,0.832,100,rain,44.8,222.7,159.6,0.35,rain,345
2010-09-16,Thursday,7,6,33,19,25,33,Autumn,0,0,0.0,0.0,81.5,0.0,0,none,17.2,84.2,257.7,0.28,cloudy,363
2012-04-27,Friday,6,42,6,19,56,22,Spring,0,0,0.0,0.0,75.7,0.0,0,none,31.3,183.3,259.8,0.22,cloudy,378
2021-07-21,Wednesday,6,34,44,20,20,53,Summer,0,0,0.0,0.0,81.5,0.0,0,none,21.9,160.0,56.3,0.41,cloudy,691
2013-05-18,Saturday,6,26,39,20,9,32,Spring,0,1,0.0,0.0,79.9,0.0,0,none,30.0,162.3,302.3,0.29,cloudy,338
2013-02-01,Friday,7,11,13,17,59,22,Winter,0,0,0.0,0.0,59.8,0.0,0,none,22.0,165.7,193.8,0.7,clear,405
2015-05-22,Friday,6,24,55,20,11,41,Spring,0,0,0.0,0.0,72.7,0.002,100,rain,19.2,81.2,263.7,0.15,rain,378
2011-07-13,Wednesday,6,29,59,20,24,14,Summer,0,0,0.0,0.0,87.5,0.0,0,none,26.4,192.5,217.4,0.44,clear,333
2020-07-20,Monday,6,34,17,20,21,15,Summer,0,0,0.0,0.0,80.7,0.274,100,rain,28.9,93.0,42.5,0.0,rain,704
2011-04-30,Saturday,6,40,3,19,57,47,Spring,0,1,0.0,0.0,77.5,0.0,0,none,31.2,161.1,228.4,0.92,cloudy,371
2013-08-13,Tuesday,6,48,9,20,3,55,Summer,0,0,0.0,0.0,87.7,0.0,0,none,21.9,227.0,313.8,0.24,clear,357
2016-05-06,Friday,6,34,23,20,2,6,Spring,0,0,0.0,0.0,74.9,0.0,0,none,17.2,47.4,343.4,0.0,clear,364
